country,advertiser_name,ad_campaign_id,dim_campaign_id,campaign_name,ad_type,campaign_start,campaign_end,optimization_type,impressions,clicks,spend,dpv_total,order_count_total,units_sold_total,product_sales_$_total
US,Marley Spoon Inc. - US,3101776001,581706202,Marley Spoon Inc. - US_Marley Spoon Inc_AAP CTR/CPC PACKAGE_AAP_28/11-28/12 LINK IN,AAP_MOBILE,11/28/2017 5:00,12/29/2017 4:59,CTR,908646,1837,3513.8063,76,11,14,300.86
US,Starcom_US_Samsung,2603163001,72826562,STRSAM79739_General Wearables_Q3'17_Desktop Display,AAP,7/1/2017 4:00,9/19/2017 3:59,CVR,9361279,5626,39463.7503,8663,133,132,39184.71
US,Oculus - US,2954962001,457290295,Oculus_Rift P8-NOV Segment_Q42017_AAP_No Price (Creative 1)_11-1-11-22,AAP,11/1/2017 4:00,11/24/2017 4:59,NONE,650591,91,2020.0118,3856,147,156,45263.21
US,Newell Brands,2659920001,228110966,BTS Writing Essentials Kit,AAP,7/18/2017 4:00,8/2/2017 3:59,PURCHASE,10434142,3292,45775.7183,12276,182,250,3180.9
US,SE - Orlando-Daytona Beach-Melbourne,2704800001,269539840,Orlando-Daytona Beach-Melbourne - A/P/C - Sentra,AAP,8/4/2017 4:00,10/1/2017 3:59,CTR,444770,118,2225.6207,,,,
US,Ozobot - US,2503203001,35263806,Ozobot - US_Ozobot_PrimeDay_2017_AAP_6/13  -  7/13,AAP_MOBILE,6/13/2017 4:00,7/14/2017 3:59,PURCHASE,3545034,6721,12105.4112,3916,169,172,10382.27
US,Garmin - US,2942491001,452134695,Garmin Speak_AAP_Oct 20-31,AAP_MOBILE,10/18/2017 4:00,11/1/2017 3:59,CSR,3490676,17884,11846.2862,20089,6,6,899.94
US,Pfizer OTC,2916707001,424347566,Q4'17_Emergen-C_Display_Audience Targeting_HALS_O-QHPP,AAP_MOBILE,10/2/2017 4:00,11/1/2017 3:59,PURCHASE,9384382,15739,12430.1869,20652,144,171,1900.26
US,Columbia Sportswear - US,2944987001,453630599,Columbia Sportswear - US_Columbia - 2017( OUTERWEAR) AAP,AAP,10/11/2017 4:00,1/1/2018 4:59,PURCHASE,8342871,1841,22959.3561,65683,1582,1689,92962.17
US,CenturyLink - US,2910061001,410708496,CenturyLink_Movers_2017 Q4,AAP,10/1/2017 4:00,1/1/2018 4:59,NONE,18539798,2640,40514.0535,0,0,0,0
US,Reynolds - US,2582876001,66087762,Reynolds - US_Reynolds Foil Always On 2017_ AAP_07/01-11/2,AAP,7/1/2017 4:00,11/3/2017 3:59,PURCHASE,16619042,2085,52376.975,12096,3886,4546,34463.85
US,"Glu Mobile, Inc - US",2603269001,72842468,"App_DL - Tier2 - Adjust - Glu Mobile, Inc. - Restaurant Dash with Gordon Ramsay - June-July 2017 GR_iOS_US_Phone_Rich-Media_undefined_CID10134",AAP_MOBILE,6/29/2017 4:00,9/1/2017 3:59,APP_DL,1898846,9435,5518.4567,0,0,0,0
US,Starz,2504296001,35480844,DIGSTZ79413_POWER_S4_Originals,AAP,6/12/2017 4:00,7/10/2017 3:59,NONE,42236523,27073,75935.7261,7249,1559,1559,0
US,Seventh Generation,2837361001,368856762,Seventh Generation - US_Seventh Generation Baby Registry Q4 2017 Opportunity_AAP Purchase Link In_10/1-12/31,AAP_MOBILE,10/6/2017 4:00,1/1/2018 4:59,PURCHASE,2281680,3593,6526.2373,3522,329,339,11418.94
US,Go Outdoors Florida,2556447001,52955406,IP1711274 - Spanish Amazon Audience,AAP,6/11/2017 4:00,9/1/2017 3:59,CVR,41838,61,183.197,0,0,0,0
US,Hard Eight Nutrition LLC - US,2657101001,226330974,Hard Eight Nutrition July ASIN RT - AAP - MSM_7/19-8/10,AAP_MOBILE,7/19/2017 4:00,9/11/2017 3:59,PURCHASE,1661863,3288,5645.1989,6635,412,428,8776.46
US,Kellogg - US,2424958001,18998298,Kellogg - US_Kellogg (AMZN FRESH) SpK Q1 2017_AAP_4/6-5/21,AAP,4/6/2017 4:00,5/22/2017 3:59,CTR,3167820,1297,17189.3441,,,,
US,Reckitt Benckiser - US,2287106001,11002408,Reckitt Benckiser - US | Amope - Valentine's Day Campaign | AAP | Jan 20-Feb 16,AAP_MOBILE,1/20/2017 5:00,2/17/2017 4:59,PURCHASE,17471266,27429,44373.6166,16429,1953,1965,64227.22
US,Anker - US,3000678001,481554591,Anker - US_Anker Soundbuds Curve_Q4 2017_AAP eCommerce Remarketing_11/1-11/30,AAP_MOBILE,11/1/2017 4:00,12/1/2017 4:59,PURCHASE,5661885,10040,20448.7174,18150,864,933,21751.66
US,Better Choice Online - US,2949185001,454701025,Better Choice Online - US_Better Choice Online Q4_DAPWB_AAP eCommerce Remarketing_10/24-12/23_(Turbolock TL-99),AAP,10/24/2017 4:00,12/24/2017 4:59,PURCHASE,3378348,1235,7880.3596,3912,90,103,7498.97
US,Redfox - RUC04 (RUC04),2633098001,203957793,Redfox - SSDA - B01C5FY7AQ - T6NM2OUVRL36KW3KKC7ZDVPHDU - MOBILEADS - Lucky North Casino- Games,MOBILE_AD_NETWORK,7/8/2017 7:00,7/22/2017 7:00,CTR,883650,2296,118.84,2330,13,13,0
US,MT - Lincoln/Hastings/Kearney,2700261001,264462180,Lincoln/Hastings/Kearney - A/P/C - Armada,AAP,8/3/2017 4:00,9/1/2017 3:59,CTR,17129,9,100.058,,,,
US,Redfox - GLPM5 (GLPM5),2673713001,237824208,Redfox - SSDA - B06WGLMJQF - XNNW4LRABTYNXWKELB4C43AH74 - MOBILEADS - Clapp - Teaching &amp; Learni...,MOBILE_AD_NETWORK,7/25/2017 7:00,8/8/2017 7:00,CTR,160,6,2.1,5,0,0,0
US,MW - Green Bay/Appleton,2736868001,292172552,Green Bay/Appleton - A/P/C - Maxima,AAP,8/12/2017 4:00,9/1/2017 3:59,CTR,16281,13,99.936,,,,
US,Mars_Wrigley_US,2307874001,12050398,STRMSF77972_MDG0_GR_17Q1_Vivaki_AAP_Display_O-PPVC,AAP_MOBILE,1/30/2017 5:00,3/27/2017 3:59,PURCHASE,5694013,6510,10784.3407,14320,2510,2713,71899.13
US,Motortrend Auto Shows,3005248001,483621866,Adstrategies_Motortrend_Nashville_Oct17  (USE),AAP,10/24/2017 4:00,11/5/2017 3:59,CVR,452849,160,1330.1717,,,,
US,La Quinta,2321783001,12644799,DPM Reach Bookings - January 2017 - AAP - Feb incremental package,AAP_MOBILE,2/2/2017 5:00,3/1/2017 4:59,CVR,162811,2,510.0578,0,0,0,0
US,Tiffany's Test,2504658001,35537150,Test Order,AAP_MOBILE,5/18/2017 4:00,6/1/2017 3:59,CTR,363180,1598,98.8325,,,,
US,Wrangler - US,2925253001,440050370,Wrangler - AAP Test Wrangler.com Link Out - Q3 2017_AAP_10/1-10/31_Control,AAP,10/1/2017 4:00,11/1/2017 3:59,CVR,4890522,1062,10785.2856,10405,550,658,22952.92
US,Redfox - VPFOU (VPFOU),2555321001,52493258,Redfox - SSDA - B071Z6NMQM - JICIT4CKJIOBSYIL3GRC5SJPLI - MOBILEADS - Fancy Cakes Campaign 1,MOBILE_AD_NETWORK,6/11/2017 7:00,6/19/2017 7:00,CTR,206087,216,16.91,241,4,4,0
US,Big Heart Pet Brands - US,2090899001,3267833,Big Heart Pet Brands_FY 17_Milk Bone Brushing Chews_AAP,AAP,9/9/2016 4:00,3/1/2017 4:59,PURCHASE,8413282,459,18580.9486,3294,430,599,6063.49
US,MW - Cedar Rapids/Waterloo/Dubuque,2732474001,290443698,Cedar Rapids/Waterloo/Dubuque - A/P/C - Rogue,AAP,8/11/2017 4:00,9/1/2017 3:59,CTR,21490,8,141.5779,,,,
US,Redfox - YW0OB (YW0OB),2505799001,35690702,Redfox - SSDA - B0716QV1F1 - HWAM6RLGRCJ6Q6L5XYEUT3NOFU - MOBILEADS - Guitar Talk Campaign,MOBILE_AD_NETWORK,5/19/2017 7:00,6/2/2017 7:00,CTR,227537,644,53.85,459,2,2,0
US,Delta Faucet - US,2729811001,289216280,Delta Faucet - US_Delta_Faucet_MPS_107H2_AAP_Bathing_09/1 - 10/31,AAP,9/1/2017 4:00,11/1/2017 3:59,NONE,177571,57,978.0339,448,28,31,2754.36
US,Starcom_US_Samsung,2473541001,23783656,STRSAM79195_Smart Things Q2'17_Mobile,AAP,5/1/2017 4:00,7/1/2017 3:59,PURCHASE,3056827,1525,12000.5553,2600,102,106,8346.07
US,CitiBank - US,2976960001,469305138,Citi 1-Click Q4 2017 - AAP Desktop and Mobile,AAP_MOBILE,11/1/2017 4:00,12/1/2017 4:59,CTR,53574204,124981,179593.041,0,0,0,0
US,Ignition Design Labs - US,2313365001,12295498,Ignition Design Labs - US_Ignition Design Labs_Portal_Jan-Jul 2017_AAP,AAP,1/31/2017 5:00,8/1/2017 3:59,PURCHASE,19359264,8015,47701.1769,15183,212,213,33215.01
US,MW - Lansing,2732357001,290409274,Lansing - A/P/C - Armada,AAP,8/11/2017 4:00,9/1/2017 3:59,CTR,5594,1,50.7607,,,,
US,Sony Pictures Home Entertainment - US,2395471001,16249205,Underworld - BloodWars - Q2: AAP Desktop & Mobile - 4/11 - 4/18,AAP_MOBILE,4/11/2017 4:00,5/8/2017 3:59,PURCHASE,4263729,5788,11216.7739,67921,7260,7261,68536.62
US,Philips - US,2296669001,11514722,Philips - US_Philips_VitaLight_Q1_2017_AAP_2/1-3/31 - Megatron,AAP_MOBILE,2/3/2017 5:00,3/16/2017 3:59,PURCHASE,5187785,9538,13653.0476,4023,168,172,17481.67
US,MIO Global - US,2396056001,16327906,MIO Global - US_Mio_Slice_2017_AAP_4/28-5/28,AAP_MOBILE,4/28/2017 4:00,5/29/2017 3:59,PURCHASE,1492617,2876,4559.7727,173,2,2,258
US,Redfox - EPRRV (EPRRV),2988178001,474337725,Redfox - SSDA - B07192HTZ9 - Z2D47UWQIMM7BZFAIUOPN4TPA4-011 - MOBILEADS - Word Soup Campaign,MOBILE_AD_NETWORK,10/20/2017 7:00,11/3/2017 7:00,CTR,297900,429,40.12,171,28,28,0
US,Penguin Random House - US,2237146001,8411676,Penguin Random House 2017 Titles - AAP,AAP,2/1/2017 5:00,3/21/2017 3:59,PURCHASE,7801607,2162,16607.4593,12624,1360,1362,20743.49
US,Mars_Wrigley_US,3063191001,559442545,STRMSF71036_MDG0_EUKA_4Q17_DIS_AAP_NPERFD_GM_O-56Z3,AAP,11/13/2017 5:00,12/1/2017 4:59,PURCHASE,6517451,1227,22038.0379,1325634,359,401,12789.83
US,Cox Communications (AOD),2409312001,17200093,MEDCOX77921_2017_Cox Communications_HomeLife_AAP_Prospecting_April,AAP,4/1/2017 4:00,5/1/2017 3:59,CVR,1999557,334,5348.5099,0,0,0,0
US,Iovate Health Sciences International Inc. - US,2840207001,371308786,Iovate Health Sciences International Inc. - US_Iovate - 2017 Q4 AMG_AAP - October 10/01-10/31 (B50S10),AAP_MOBILE,10/1/2017 4:00,11/1/2017 3:59,PURCHASE,6515882,13409,20880.3035,12337,2227,2368,52396.92
US,Harvard Business School (HBX) - US,2442746001,20392512,Harvard Business School (HBX) - US_Harvard University_AAP_Q1_2017_AAP,AAP,4/17/2017 4:00,5/23/2017 3:59,NONE,632932,925,3894.8382,0,0,0,0
US,"Madrona, Inc. - US",2732657001,290476953,Madrona Quad Lock AMG DEAR Test Q3Q4 '17_AAP_ASIN RT,AAP_MOBILE,8/15/2017 4:00,11/16/2017 4:59,PURCHASE,1658132,3038,6613.3062,4213,84,86,3512.71
US,Redfox - M1769 (M1769),2722318001,286017351,Redfox - SSDA - B074MGT2GS - 2EASERHGHOUDR5EUAKGZMZZC2Q - MOBILEADS - M1 Messenger Campaign,MOBILE_AD_NETWORK,8/9/2017 7:00,8/23/2017 7:00,CTR,560811,984,54.89,405,0,0,0
US,Nestle - US,2592284001,69533684,Nestle - US_Gerber August 2017_AAP_8/1-8/31,AAP_MOBILE,8/1/2017 4:00,9/1/2017 3:59,PURCHASE,6048248,10114,15416.1334,11685,248,285,6978
US,Redfox - LEGQJ (LEGQJ),2381202001,15423257,"Redfox - SSDA - B01N4RZJTS - KDF3Y5R4EHKFEYCLLKWIQVJAUQ - MOBILEADS - LEGO&reg; Life - Create, shar...",MOBILE_AD_NETWORK,3/12/2017 8:00,4/1/2017 7:00,CTR,875708,985,97.06,1257,89,89,0
US,Saatva Mattress - US,2353930001,14175980,Saatva Mattress - US_Saatva - US - $50K - Q1 2017_AAP_03/08 - 04/19,AAP,3/13/2017 4:00,4/20/2017 3:59,CVR,17183363,7360,38757.2842,0,0,0,0
US,ColArt - US,2378162001,15291299,ColArt - US_Colart ASIN Retargeting_AAP_3/17 - 5/17,AAP_MOBILE,3/21/2017 4:00,6/15/2017 3:59,PURCHASE,1626824,2563,4833.5088,7801,508,564,7677.86
US,General Mills - US,2504804001,35552759,GMI: Annie's Q3 - Q4 2017_AAP,AAP_MOBILE,9/1/2017 4:00,10/1/2017 3:59,PURCHASE,3541791,5045,12454.6092,6218,1989,2319,24856.19
US,Enzymedica,2448719001,20951188,BA MSAlt Test - GlutenEase Extra Strength,AAP,4/26/2017 4:00,5/10/2017 3:59,CSR,198886,108,499.8716,236,17,20,805.35
US,Georgia Pacific - US,3186536001,672572968,Georgia Pacific - US_GP Angel Soft Q4 2017_AAP_AS Customers_12/11/2017-12/31/2017,AAP_MOBILE,12/11/2017 5:00,1/1/2018 4:59,PURCHASE,1261509,1713,4651.1274,2258,127,128,2942.52
US,Comcast - US,2821000001,357434477,COMW_WDVB_74809_BC_BASE_17_3_ACQ_SMB_West- SmartOffice- AAP Q3,AAP,9/11/2017 4:00,10/1/2017 3:59,CVR,39140984,593749,111968.0451,0,0,0,0
US,Redfox - REHF8 (REHF8),2381857001,15485673,Redfox - SSDA - B00VTSQ9DE - 57ESTRCR65J5MRGEHED6HNVD5I - MOBILEADS - Reading Island Adventures #1 ...,MOBILE_AD_NETWORK,3/13/2017 7:00,3/27/2017 7:00,CTR,881511,3794,200.73,585,0,0,0
US,Zeiss Mobile - US,2891288001,399411600,Zeiss Mobile - US_Zeiss Q3'17 Launch Tablet_New_AAP_10/01-12/31,AAP_MOBILE,10/1/2017 4:00,1/1/2018 4:59,PURCHASE,7309860,13092,19512.2345,13117,4,6,65.94
US,The Tile App - US,3096184001,579600812,The Tile App - US_Tile Holiday 2017 - US_AAP_Dec- Jan_12/01 - 01/16,AAP_MOBILE,12/1/2017 5:00,1/17/2018 4:59,PURCHASE,16656540,25819,47502.6594,58362,3935,4332,167900.5
US,NE - Elmira,2723424001,286433095,Elmira - A/P/C - Rogue,AAP,8/3/2017 4:00,9/1/2017 3:59,CTR,17199,12,124.9867,,,,
US,Foscam Digital Technologies LLC - US,2302254001,11855145,Amcrest - US - 2017 - Q1,AAP_MOBILE,1/23/2017 5:00,4/3/2017 3:59,NONE,1759762,4699,4659.0884,8569,182,218,20864.85
US,PepsiCo,2732472001,290443687,Quaker Heart Health Millennial Test- August 2017,AAP_MOBILE,8/16/2017 18:00,9/1/2017 3:59,CTR,759199,1481,2412.9601,1442,7,7,52.6
US,cobalt ADP - US,2272628001,10244218,"CDK Global, LLC - US_CDK 2017 Chevy DMA Southeast Region_AAP_1/1-1/31",AAP,1/1/2017 5:00,6/1/2017 3:59,NONE,469812,52,2138.916,,,,
US,Epson - US,2660084001,228217635,Epson - Q3 2017 - BTS - Ecotank_AAP,AAP,8/2/2017 4:00,9/11/2017 3:59,CVR,53361842,16036,129989.1357,9844,374,377,104252.76
US,Redfox - MD6ZX (MD6ZX),2276658001,10394454,Redfox - SSDA - B01N9L0IX8 - YNQD4OLGQOZZ5XCKWQMUW4RJH4 - MOBILEADS - Chess Pro Campaign,MOBILE_AD_NETWORK,1/1/2017 8:00,1/15/2017 8:00,CTR,130200,184,12.82,194,7,7,0
US,Verizon_Fios_ZenithVM1,2420790001,18521073,VM1VZF78731_SMB_Q2_2017_BUSINESS,AAP,4/1/2017 4:00,7/1/2017 3:59,NONE,9988717,2594,78233.1361,0,0,0,0
US,BlackBerry Mobility,3009890001,485764511,BB US Q417,AAP_MOBILE,11/1/2017 4:00,1/3/2018 4:59,PURCHASE,2048800,4657,6921.3605,6532,4,5,2224.52
US,Energizer Holdings - US,2458668001,21447484,Energizer AMG May-June 2017 Test AA_AAP,AAP,6/1/2017 4:00,9/1/2017 3:59,PURCHASE,16524976,3305,40369.0747,8796,1332,1521,20681.45
US,"Mars, Incorporated - US",2724448001,286672534,Wrigley Shopper Halloween 2017_AAP,AAP_MOBILE,9/17/2017 4:00,10/18/2017 3:59,PURCHASE,5994780,9497,21861.9411,45898,9798,12159,185578.83
US,Redfox - GJHPD (GJHPD),2517952001,38782254,Redfox - SSDA - B071VV91MW - 2LDC45KRVSH2NR2BUTVDUW2LX4 - MOBILEADS - 20170523.time travel.,MOBILE_AD_NETWORK,5/24/2017 7:00,6/7/2017 7:00,CTR,189428,454,31.3,417,1,1,0
US,Johnson & Johnson - US,2329581001,12988570,Johnson & Johnson - US_Johnson & Johnson - Allergy Q1 Q2 2017_AAP Desktop & Mobile,AAP_MOBILE,3/1/2017 5:00,7/15/2017 3:59,PURCHASE,75932693,102902,228234.8242,127432,3681,4140,77957.69
US,DYMO - US,2294177001,11391159,DYMO Mobile Launch - Q1'17_AAP,AAP,2/1/2017 5:00,4/1/2017 3:59,NONE,2194781,126,4492.9227,983,12,12,1245.41
US,WB Home Entertainment - US,2502836001,35168210,WBHE|EST|The Flash S3|Display,AAP,5/19/2017 4:00,5/23/2017 3:59,PURCHASE,1582045,392,5668.1651,4006,57,56,1467.8
US,Cricket,2493252001,30626348,Cricket Q2 Hispanic Prospecting- A/B Test,AAP,5/11/2017 4:00,7/1/2017 3:59,CVR,192030,57,1638.8844,,,,
US,Redfox - JIM9O (JIM9O),2369895001,14855204,Redfox - SSDA - B06X6J9Q81 - NXHDWCJYEQM4GSL32ISMYIFDRQ - MOBILEADS - Maze Hornet Smart Campaign,MOBILE_AD_NETWORK,3/6/2017 8:00,3/13/2017 7:00,CTR,43609,115,8.49,34,0,0,0
US,Dickies - US,2392081001,16013496,Dickies - US_Dickies - Always-on Campaign Q2 2017_AAP_4/01-6/30,AAP_MOBILE,4/1/2017 4:00,10/16/2017 3:59,PURCHASE,70548476,109819,216890.4096,582809,55204,71207,1613325.17
US,Powerstop - US,2841255001,371827725,Powerstop - US_Powerstop AMG DEAR Test Q3Q4 '17_AAP_9/15-11/30,AAP_MOBILE,9/15/2017 4:00,12/1/2017 4:59,PURCHASE,8958841,16207,31099.0505,36812,1337,1343,218051.46
US,"Better Planet Brands, LLC - US",2333090001,13185934,"Better Planet Brands, LLC - US_Acure Day Cream 2017 Campaign_AAP_03/01_03/31",AAP,3/1/2017 5:00,4/1/2017 3:59,CSR,6130263,3124,15499.7512,3805,28,32,443.63
US,Redfox - WWXDZ (WWXDZ),2963705001,460583970,Redfox - SSDA - B01LW7AFRS - X5VP546NFY3P4ITSEBCRMSKQKE - MOBILEADS - Anatomy 3D Pro++ - Human Anat...,MOBILE_AD_NETWORK,10/14/2017 7:00,11/14/2017 8:00,CTR,114034,79,3.95,65,0,0,0
US,Beiersdorf - US,2263899001,9833463,BDF_Eucerin Repair_Q1-Q2 2017 AAP,AAP_MOBILE,1/9/2017 5:00,7/1/2017 3:59,CSR,11485257,32344,28313.0534,49755,42,51,463.74
US,Vitamix - US,2427278001,19160895,Vitamix - US_Vitamix_Q2_2017_AAP_4/7-5/14,AAP_MOBILE,4/7/2017 4:00,5/15/2017 3:59,PURCHASE,4164518,6447,11158.8781,10220,119,120,43826.11
US,Canon - US,2797228001,327208593,Canon Camera Q3 2017 DP Review & AAP_80D,AAP,8/30/2017 4:00,10/1/2017 3:59,NONE,388005,1026,1025.9986,610,5,5,6395
US,P&G Scale,2489784001,29357622,Olay AMJ 2017_1,AAP_MOBILE,5/10/2017 4:00,7/1/2017 3:59,PURCHASE,1616306,1514,4221.6735,12574,1623,1882,32916.51
US,Square Enix,2265421001,9882577,Square Enix_Kingdom Hearts 2.8_Q42016_AAP Desktop and Mobile,AAP_MOBILE,1/5/2017 5:00,1/24/2017 4:59,PURCHASE,4706211,8564,10990.8715,49681,1506,1432,84108.08
US,Mars_Wrigley_US,2403404001,16700580,STRMSF78470_MDG0_DX_2017_DIS_AAP_Awareness_GM_O-R9PG,AAP,3/27/2017 4:00,6/26/2017 3:59,PURCHASE,960825,154,3794.5025,1004,239,314,3110.66
US,SanDisk - US,3225669001,697746648,SanDisk - US_Nintendo Switch Q4'17_AAP eCommerce Remarketing_12/13-12/30,AAP,12/13/2017 5:00,12/31/2017 4:59,PURCHASE,4115545,1977,12891.6566,1675,31,32,2236.18
US,Rainbow Light,2535350001,45681605,Rainbow_Light_Mens_One_June_2017,AAP,6/2/2017 4:00,7/3/2017 3:59,PURCHASE,4236134,2023,14916.484,6230,889,968,27169.54
US,SISU - US,2344621001,13716183,SISU - US_Sisu_Q1_2017_AAP_Mar 01-Mar 31,AAP_MOBILE,3/1/2017 5:00,4/1/2017 3:59,PURCHASE,7727835,11586,20006.4292,12673,150,160,3874.55
US,Redfox - J70M6 (J70M6),2804150001,331779588,Redfox - SSDA - B07586SQ3F - 237XMHSJW2W53JZNPLS3VTL2DA - MOBILEADS - SSC English By Pradeep Sir Ca...,MOBILE_AD_NETWORK,9/2/2017 7:00,9/16/2017 7:00,CTR,19771,59,4.91,46,0,0,0
US,Land Rover,2490995001,29941951,LB1_FL_400_D_DiscoveryLaunch_Brand_FY17/18 | Mobile Interstitial,AAP_MOBILE,5/29/2017 4:00,9/1/2017 3:59,CTR,7004884,15819,105339.2719,,,,
US,Redfox - RUEFV (RUEFV),2804168001,331796414,Redfox - SSDA - B073V7TY89 - OJE4KHVUWVYCN24QU3WLU5UWNM - MOBILEADS - Speedy Golf Campaign,MOBILE_AD_NETWORK,9/1/2017 7:00,9/15/2017 7:00,CTR,1188925,1560,100.12,1339,2,2,1.98
US,THE-ONE-TECH - US,2660497001,228355909,THE-ONE-TECH - US_Project DEAR_only - THE-ONE-TECH - AAP - RT July 25- September 24_AAP_7/25-9/24 (PAUSED due to OOS ASINS),AAP,7/31/2017 4:00,9/25/2017 3:59,PURCHASE,1366880,1398,4128.2796,2125,23,23,764.66
US,Redfox - ACVQ6 (ACVQ6),3149743001,625179465,Redfox - SSDA - B077S46XD6 - C3S7DQEQXUUQEAYVQLWPSU4J3Y - MOBILEADS - Merry Christmas Word Cookies:...,MOBILE_AD_NETWORK,11/29/2017 8:00,12/13/2017 8:00,CTR,66997,174,8.7,38,6,6,0
US,W - Sacramento/Stockton/Modesto,2705136001,269846963,Sacramento/Stockton/Modesto - A/P/C - Maxima,AAP,8/4/2017 4:00,9/1/2017 3:59,CTR,11667,9,100.1246,,,,
US,Dishonored,2765308001,309018755,Amazon Data Prospecting,AAP,8/22/2017 4:00,10/1/2017 3:59,CVR,7920538,2461,24184.2227,0,0,0,0
US,Reckitt Benckiser - US,2261917001,9761918,Reckitt Benckiser - US_Airborne 2017 Q1 NYNY_AAP_01/18_03/05,AAP_MOBILE,1/16/2017 5:00,3/6/2017 4:59,PURCHASE,10451861,14420,23408.054,4897,271,324,4296.96
US,Rocky Mountain Oils - US,2753544001,301696152,Rocky Mountain Oils - US_Project Dear: RMO Q2 17_AAP Remarketing_9/01-10/31,AAP,9/1/2017 4:00,3/1/2018 4:59,PURCHASE,881386,178,3164.638,967,93,117,2450.65
US,"Century Products, Inc-US",2631818001,200124973,Century Products |Q3 | 2017| DEAR_AAP,AAP_MOBILE,7/24/2017 4:00,9/25/2017 3:59,PURCHASE,1048402,2179,4618.4388,4459,313,360,4669.2
US,Clorox,2267081001,9933947,Brita Filter Standard $80K JFM 2017_AAP,AAP,12/26/2016 5:00,3/27/2017 3:59,PURCHASE,10180062,3174,19863.6501,4500,381,400,6373.05
US,Wiley Publishing - US,2732114001,290329742,Wiley Publishing - US_Wiley ASIN Retargeting Test_2017_AAP eComm Remarketing_08/15 - 09/30,AAP_MOBILE,8/15/2017 4:00,10/1/2017 3:59,PURCHASE,1062096,1380,4122.2533,2123,108,122,3374.59
US,Beachbody - US,2547767001,50824524,Beachbody - US_Beachbody - Q2 2017_AAP_06/07- 09/01,AAP,6/27/2017 4:00,9/2/2017 3:59,CTR,3001565,1835,8037.8432,,,,
US,Bayer OTC - US,2797908001,327464584,Miralax 2017 AMZN US Amazon Ad Platform (AAP) (2345357) - Acquisition DECOM,AAP,9/1/2017 4:00,11/1/2017 3:59,PURCHASE,4603812,946,10627.1747,1695,70,80,1666.58
US,Redfox - CRHGQ (CRHGQ),2354829001,14195335,Redfox - SSDA - B017MVYM1C - 2KZ227OSNBWN7YGVC6XCQDU2QY - MOBILEADS - JellyTelly Campaign,MOBILE_AD_NETWORK,2/24/2017 8:00,3/10/2017 8:00,CTR,270243,864,50.01,377,3,3,0
